Neighborhood,price_usd,province,Number_of_rooms,Square_meters
Galicia,650.0,La Coruña,2.0,80.0
Galicia,800.0,La Coruña,4.0,100.0
Galicia,750.0,La Coruña,3.0,70.0
Galicia,675.0,La Coruña,1.0,61.0
Galicia,600.0,La Coruña,3.0,110.0
Galicia,750.0,La Coruña,2.0,63.0
Galicia,1100.0,La Coruña,3.0,129.0
Galicia,800.0,La Coruña,3.0,109.0
Galicia,1000.0,La Coruña,3.0,120.0
Galicia,470.0,La Coruña,3.0,86.0
Galicia,550.0,La Coruña,1.0,40.0
Galicia,900.0,La Coruña,3.0,117.0
Galicia,725.0,La Coruña,2.0,75.0
Galicia,350.0,La Coruña,1.0,45.0
Galicia,750.0,La Coruña,2.0,85.0
Galicia,650.0,La Coruña,4.0,75.0
Galicia,750.0,La Coruña,2.0,90.0
Galicia,505.0,La Coruña,3.0,94.0
Galicia,750.0,La Coruña,4.0,137.0
Galicia,535.0,La Coruña,1.0,41.0
Galicia,2200.0,La Coruña,5.0,300.0
Galicia,700.0,La Coruña,2.0,80.0
Galicia,850.0,La Coruña,3.0,120.0
Galicia,700.0,La Coruña,3.0,80.0
Galicia,2600.0,La Coruña,12.0,786.0
Galicia,2500.0,La Coruña,4.0,260.0
Galicia,1650.0,La Coruña,2.0,150.0
Galicia,750.0,La Coruña,3.0,116.0
Galicia,725.0,La Coruña,3.0,127.0
Galicia,650.0,La Coruña,3.0,108.0
Galicia,1300.0,La Coruña,4.0,105.0
Galicia,800.0,La Coruña,2.0,85.0
Galicia,1500.0,La Coruña,3.0,143.0
Galicia,675.0,La Coruña,2.0,84.0
Galicia,600.0,La Coruña,3.0,84.0
Galicia,580.0,La Coruña,4.0,132.0
Galicia,830.0,La Coruña,3.0,124.0
Galicia,850.0,La Coruña,3.0,105.0
Galicia,350.0,La Coruña,3.0,113.0
Galicia,375.0,La Coruña,2.0,90.0
Galicia,800.0,La Coruña,2.0,70.0
Galicia,570.0,La Coruña,3.0,110.0
Galicia,400.0,La Coruña,3.0,100.0
Galicia,1250.0,La Coruña,4.0,175.0
Galicia,500.0,La Coruña,3.0,97.0
Galicia,530.0,La Coruña,4.0,148.0
Galicia,360.0,La Coruña,3.0,112.0
Galicia,1280.0,La Coruña,5.0,432.0
Galicia,1300.0,La Coruña,6.0,320.0
Galicia,550.0,La Coruña,3.0,100.0
Galicia,1500.0,La Coruña,2.0,50.0
Galicia,400.0,La Coruña,1.0,60.0
Galicia,425.0,La Coruña,4.0,152.0
Galicia,1350.0,La Coruña,3.0,160.0
Galicia,1000.0,La Coruña,3.0,90.0
Galicia,700.0,La Coruña,3.0,86.0
Galicia,700.0,La Coruña,3.0,78.0
Galicia,2200.0,La Coruña,5.0,300.0
Galicia,535.0,La Coruña,1.0,50.0
Galicia,400.0,La Coruña,2.0,70.0
Galicia,900.0,La Coruña,3.0,91.0
Galicia,500.0,La Coruña,3.0,84.0
Galicia,450.0,La Coruña,1.0,49.0
Galicia,370.0,La Coruña,3.0,71.0
Galicia,750.0,La Coruña,3.0,93.0
Galicia,725.0,La Coruña,2.0,82.0
Galicia,700.0,La Coruña,2.0,81.0
Galicia,700.0,La Coruña,4.0,107.0
Galicia,530.0,La Coruña,3.0,97.0
Galicia,600.0,La Coruña,3.0,82.0
Galicia,460.0,La Coruña,2.0,65.0
Galicia,700.0,La Coruña,3.0,80.0
Galicia,1800.0,La Coruña,2.0,68.0
Galicia,1150.0,La Coruña,2.0,82.0
Galicia,750.0,La Coruña,2.0,75.0
Galicia,1350.0,La Coruña,4.0,187.0
Galicia,450.0,La Coruña,1.0,45.0
Galicia,550.0,La Coruña,3.0,109.0
Galicia,800.0,La Coruña,4.0,127.0
Galicia,370.0,La Coruña,2.0,70.0
Galicia,600.0,La Coruña,4.0,160.0
Galicia,470.0,La Coruña,2.0,80.0
Galicia,932.0,La Coruña,3.0,106.0
Galicia,750.0,La Coruña,3.0,78.0
Galicia,2000.0,La Coruña,3.0,88.0
Galicia,545.0,La Coruña,2.0,96.0
Galicia,475.0,La Coruña,1.0,35.0
Galicia,450.0,La Coruña,2.0,70.0
Galicia,645.0,La Coruña,3.0,90.0
Galicia,580.0,La Coruña,2.0,80.0
Galicia,750.0,La Coruña,4.0,133.0
Galicia,750.0,La Coruña,1.0,44.0
Galicia,420.0,La Coruña,3.0,88.0
Galicia,990.0,La Coruña,4.0,108.0
Galicia,1250.0,La Coruña,3.0,105.0
Galicia,650.0,La Coruña,3.0,95.0
Galicia,600.0,La Coruña,1.0,53.0
Galicia,900.0,La Coruña,3.0,157.0
Galicia,750.0,La Coruña,2.0,79.0
Galicia,2000.0,La Coruña,2.0,86.0
Galicia,625.0,La Coruña,1.0,93.0
Galicia,1100.0,La Coruña,2.0,119.0
Galicia,800.0,La Coruña,2.0,87.0
Galicia,1100.0,La Coruña,2.0,119.0
Galicia,500.0,La Coruña,3.0,106.0
Galicia,1800.0,La Coruña,5.0,200.0
Galicia,350.0,La Coruña,2.0,70.0
Galicia,720.0,La Coruña,3.0,88.0
Galicia,1050.0,La Coruña,2.0,100.0
Galicia,1000.0,La Coruña,4.0,122.0
Galicia,500.0,La Coruña,3.0,124.0
Galicia,2500.0,La Coruña,4.0,260.0
Galicia,1800.0,La Coruña,3.0,170.0
Galicia,1450.0,La Coruña,3.0,120.0
Galicia,300.0,La Coruña,2.0,54.0
Galicia,780.0,La Coruña,3.0,102.0
Galicia,900.0,La Coruña,2.0,110.0
Galicia,1480.0,La Coruña,4.0,280.0
Galicia,400.0,La Coruña,3.0,89.0
Galicia,450.0,La Coruña,4.0,161.0
Galicia,1099.0,La Coruña,4.0,111.0
Galicia,2000.0,La Coruña,4.0,181.0
Galicia,400.0,La Coruña,2.0,66.0
Galicia,675.0,La Coruña,3.0,95.0
Galicia,480.0,La Coruña,4.0,140.0
Galicia,650.0,La Coruña,3.0,100.0
Galicia,705.0,La Coruña,2.0,100.0
Galicia,900.0,La Coruña,3.0,111.0
Galicia,420.0,La Coruña,3.0,90.0
Galicia,790.0,La Coruña,2.0,71.0
Galicia,2500.0,La Coruña,2.0,240.0
Galicia,1200.0,La Coruña,1.0,60.0
Galicia,680.0,La Coruña,2.0,65.0
Galicia,800.0,La Coruña,4.0,105.0
Galicia,800.0,La Coruña,4.0,138.0
Galicia,465.0,La Coruña,2.0,81.0
Galicia,500.0,La Coruña,2.0,80.0
Galicia,1100.0,La Coruña,4.0,136.0
Galicia,450.0,La Coruña,3.0,112.0
Galicia,525.0,La Coruña,1.0,60.0
Galicia,500.0,La Coruña,3.0,79.0
Galicia,650.0,La Coruña,3.0,113.0
Galicia,680.0,La Coruña,3.0,103.0
Galicia,1200.0,La Coruña,4.0,145.0
Galicia,630.0,La Coruña,2.0,82.0
Galicia,1250.0,La Coruña,3.0,103.0
Galicia,450.0,La Coruña,1.0,50.0
Galicia,550.0,La Coruña,2.0,75.0
Galicia,1150.0,La Coruña,4.0,120.0
Galicia,1250.0,La Coruña,3.0,140.0
Galicia,1350.0,La Coruña,3.0,160.0
Galicia,650.0,La Coruña,3.0,90.0
Galicia,550.0,La Coruña,3.0,116.0
Galicia,900.0,La Coruña,3.0,93.0
Galicia,800.0,La Coruña,3.0,66.0
Galicia,600.0,La Coruña,1.0,59.0
Galicia,650.0,La Coruña,3.0,95.0
Galicia,440.0,La Coruña,2.0,71.0
Galicia,650.0,La Coruña,2.0,70.0
Galicia,750.0,La Coruña,1.0,70.0
Galicia,1350.0,La Coruña,3.0,90.0
Galicia,850.0,La Coruña,2.0,90.0
Galicia,800.0,La Coruña,3.0,95.0
Galicia,450.0,La Coruña,3.0,90.0
Galicia,1000.0,La Coruña,3.0,120.0
Galicia,800.0,La Coruña,1.0,50.0
Galicia,800.0,La Coruña,3.0,94.0
Galicia,1700.0,La Coruña,5.0,219.0
Galicia,550.0,La Coruña,2.0,68.0
Galicia,800.0,La Coruña,4.0,103.0
Galicia,400.0,La Coruña,2.0,61.0
Galicia,825.0,La Coruña,1.0,85.0
Galicia,575.0,La Coruña,2.0,83.0
Galicia,800.0,La Coruña,2.0,70.0
Galicia,480.0,La Coruña,3.0,93.0
Galicia,750.0,La Coruña,2.0,100.0
Galicia,1550.0,La Coruña,3.0,130.0
Galicia,390.0,La Coruña,1.0,40.0
